Country,City,House_Type,Income_Level,Market_Status,PPP_Index,Price_2015,Price_2020,Price_2025,Growth_Rate_%,Inflation_%,Interest_Rate_%,Population_Growth_%,Inaffordability_Ratio
Spain,Barcelona,Villa,Low,Declining,0.46,360922,455738,575462,5.25,7.62,2.24,1.69,4.02
Canada,Montreal,Condo,High,Stable,1.13,444803,530146,631864,3.84,5.96,8.35,2.44,7.77
Indonesia,Jakarta,Condo,Low,Stable,0.52,91896,141839,218924,10.87,7.4,6.7,1.69,6.14
South Africa,Johannesburg,Apartment,Low,Declining,0.95,453700,697744,1073058,10.76,6.68,6.78,0.79,4.45
USA,Saint Petersburg,Condo,High,Declining,1.11,322893,340671,359428,1.1,2.61,6.97,0.52,4.45
Turkey,Ankara,Apartment,Middle,Declining,0.79,361353,508994,716958,8.17,3.35,7.41,1.33,5.93
France,Paris,Apartment,Low,Declining,0.97,342335,519347,787887,10.34,5.95,6.11,0.83,6.31
UK,Manchester,Apartment,High,Stable,0.54,159795,253301,401521,11.7,4.36,9.03,2.71,10.15
Indonesia,Surabaya,Townhouse,Low,Stable,0.75,309607,408955,540182,6.42,3.17,7.5,1.48,3.22
Saudi Arabia,Dammam,Apartment,Middle,Stable,0.88,129700,203272,318579,11.35,7.72,9.23,1.8,3.14
Canada,Vancouver,Villa,Middle,Stable,1.14,242683,383842,607107,11.63,7.78,8.68,1.53,6.47
UAE,Dubai,Villa,High,Booming,1.07,192615,220201,251739,2.86,5.34,9.43,2.94,8.13
Mexico,Monterrey,Condo,Low,Stable,0.39,326753,521018,830778,11.89,2.84,5.66,3.57,9.67
Japan,Yokohama,Villa,Middle,Declining,0.93,366118,456813,569974,4.95,3.76,8.28,3.34,10.8
Spain,Valencia,Townhouse,Low,Declining,1.12,280104,371372,492377,6.52,6.79,6.85,2.96,10.16
Spain,Madrid,Apartment,Low,Stable,1.1,202098,253950,319106,5.13,2.56,6.2,0.63,7.19
Germany,Berlin,Apartment,High,Stable,0.79,178944,246040,338295,7.5,2.18,1.34,3.38,6.24
Germany,Frankfurt,Villa,High,Declining,0.41,285009,419960,618810,9.47,3.29,6.61,0.8,3.47
USA,Kazan,Villa,Middle,Booming,0.78,293286,410772,575322,8.01,6.36,9.78,2.31,5.91
Saudi Arabia,Riyadh,Villa,Low,Stable,1.02,171875,221965,286653,5.83,2.47,1.23,3.87,10.52
USA,Moscow,Villa,Low,Stable,0.93,234029,268036,306985,2.91,2.94,3.25,2.42,9.43
Turkey,Ankara,Condo,Middle,Declining,0.89,175970,277184,436614,11.5,6.43,5.99,2.64,6.78
Germany,Munich,Condo,Middle,Booming,0.52,210188,308307,452229,9.34,2.09,2.04,0.66,3.37
India,Delhi,Townhouse,Middle,Stable,1.07,366646,480598,629966,6.22,2.59,5.42,2.16,4.56
Canada,Montreal,Condo,Middle,Stable,0.69,229327,318471,442266,7.77,5.81,1.41,1.81,8.63
India,Delhi,Villa,Low,Declining,0.75,435420,614936,868463,8.25,2.98,1.64,2.75,3.24
France,Lyon,Apartment,Middle,Declining,0.83,473104,646501,883451,7.33,4.33,6.79,2.1,7.91
USA,Kazan,Condo,Middle,Stable,1.15,223746,353218,557609,11.57,7.43,2.76,0.74,3.91
France,Paris,Apartment,High,Stable,0.32,92499,131872,188004,8.51,2.43,3.87,3.46,3.21
South Africa,Johannesburg,Villa,Middle,Declining,1.03,176835,197169,219842,2.3,6.18,6.66,3.57,9.62
South Korea,Incheon,Villa,High,Declining,1.02,176916,203027,232992,2.95,6.5,8.26,3.97,6.71
Japan,Osaka,Villa,Middle,Booming,0.63,399386,494217,611565,4.75,7.58,8.73,2,9.76
Japan,Osaka,Townhouse,Low,Stable,0.98,96406,149082,230541,10.93,5.03,8.44,1.62,11.06
China,Beijing,Condo,High,Declining,0.65,54877,84947,131495,10.96,2.55,3.87,3.83,11.56
UAE,Dubai,Condo,High,Declining,0.82,334327,433503,562100,5.93,3.76,3.96,2.85,9.77
South Korea,Incheon,Villa,Middle,Booming,1.01,405328,445927,490593,2,4.97,1.52,2.42,6.97
Canada,Vancouver,Condo,High,Declining,1.1,207912,231694,258197,2.29,2.86,7.85,2.66,3.91
UK,Birmingham,Townhouse,Middle,Declining,0.38,365436,398333,434190,1.8,6.93,7.36,0.78,3.76
Mexico,Guadalajara,Townhouse,Low,Stable,1.19,218422,273869,343391,5.08,6.88,9.53,3.95,9.78
Australia,Sydney,Condo,Low,Declining,0.64,87575,129386,191160,9.55,5.35,4.82,3.67,4
USA,Saint Petersburg,Villa,High,Declining,0.74,55109,72070,94250,6.16,2.34,2.07,0.91,8.84
Turkey,Istanbul,Apartment,High,Stable,0.97,312516,493524,779370,11.58,4.25,3.57,3.54,5.01
Russia,Chicago,Apartment,Middle,Booming,1.17,55470,87832,139077,11.67,2.26,9.02,2.35,11.94
Turkey,Izmir,Apartment,High,Booming,0.37,299234,473723,749959,11.66,5.14,6.66,2.94,7.09
Brazil,Brasilia,Condo,Middle,Stable,0.86,312941,483694,747615,10.91,2.27,3.53,3.83,11.01
USA,Moscow,Villa,High,Declining,0.71,329060,395714,475870,4.05,3.13,5.17,1.74,8.25
South Korea,Busan,Apartment,High,Stable,0.37,488478,777860,1238676,11.85,6.19,5.82,1.58,10.32
Mexico,Monterrey,Townhouse,Middle,Stable,0.92,123178,191050,296320,11.02,6.94,9.55,3.04,8.52
China,Beijing,Condo,High,Declining,0.68,469728,716962,1094324,10.53,2.27,1.24,1.82,10.29
Japan,Osaka,Townhouse,High,Declining,1.19,117688,162029,223077,7.54,4.29,9.73,3.45,10.54
Germany,Frankfurt,Apartment,Low,Stable,0.72,236669,284091,341015,4.01,2.34,8.78,3.35,12
USA,Saint Petersburg,Apartment,Low,Stable,1.2,299944,441801,650747,9.46,7.67,8.65,1.37,7.05
Australia,Sydney,Apartment,Low,Booming,0.42,479323,663093,917321,7.67,3.37,7.05,2.66,6.22
Saudi Arabia,Riyadh,Townhouse,High,Booming,0.4,352208,470609,628814,6.72,6.63,5.68,3.48,7.97
UK,Manchester,Townhouse,High,Stable,0.8,444494,565359,719089,5.44,2.8,1.26,3.14,8.58
USA,Kazan,Villa,Low,Booming,0.93,145834,164064,184572,2.5,2.09,4.16,2.56,6.53
China,Beijing,Townhouse,High,Stable,0.69,456871,567224,704232,4.83,5.08,8.05,1.89,8.6
India,Delhi,Condo,Low,Booming,1.08,477284,539756,610405,2.62,7.56,5.43,1.4,7.13
India,Mumbai,Apartment,Low,Stable,1.18,271678,334385,411566,4.62,5.8,3.16,0.77,4.16
Spain,Madrid,Condo,Low,Stable,0.42,118356,133311,150156,2.53,5.85,2.64,1.71,11.07
Russia,Los Angeles,Apartment,Middle,Stable,0.73,350401,401131,459205,2.9,3.15,1.37,1.09,5.51
South Korea,Seoul,Villa,Low,Declining,0.46,89916,100378,112057,2.33,4.76,2.86,1.77,7.53
China,Shanghai,Villa,High,Declining,0.92,67690,100837,150214,9.79,5.77,1.74,3.56,11.29
Germany,Munich,Apartment,Low,Stable,0.35,174595,260742,389395,9.87,6.49,2.66,1.23,6.33
Saudi Arabia,Jeddah,Villa,Middle,Stable,0.74,328215,411221,515220,5.06,4.78,7.73,0.63,5.27
Australia,Melbourne,Villa,High,Booming,0.94,452843,602926,802749,6.63,5.19,1.96,2.07,7.79
India,Bangalore,Villa,High,Stable,0.52,171159,215234,270658,5.15,2.12,3.9,1.24,5.95
France,Paris,Apartment,Low,Booming,0.41,450737,620429,854006,7.53,6.07,8.1,2.24,3.78
South Korea,Seoul,Condo,Middle,Declining,0.78,314079,458552,669482,9.2,4.59,2.15,1.49,6.27
Indonesia,Jakarta,Condo,High,Stable,0.88,306850,382290,476278,4.92,7.92,6.45,1.33,3.92
Mexico,Mexico City,Townhouse,Low,Booming,0.44,160681,182915,208226,2.77,3.12,3.57,1.11,11.07
Canada,Montreal,Condo,High,Declining,0.37,286030,364894,465502,5.51,7.89,2.01,1.89,11.73
China,Beijing,Villa,Middle,Stable,1.08,417682,497813,593317,3.84,3.03,7.02,3.75,8.01
France,Marseille,Apartment,Low,Declining,0.81,175991,259273,381967,9.46,3.12,3.91,1.99,7.57
Japan,Tokyo,Villa,Low,Booming,0.52,101677,140908,195275,7.72,3.73,6.23,1.04,7.33
Turkey,Ankara,Apartment,Low,Stable,0.78,73321,90561,111854,4.7,2.81,1.57,3.96,5.9
South Korea,Incheon,Villa,Middle,Booming,1.03,164588,234510,334136,8.5,6.56,6.36,2.15,6.71
Mexico,Guadalajara,Villa,Middle,Declining,0.61,468288,705636,1063280,10.14,7.79,2.12,3.06,11.45
Canada,Toronto,Townhouse,High,Booming,0.46,79923,116498,169809,9.15,5.45,8.58,0.99,10.16
France,Lyon,Townhouse,High,Stable,0.48,123645,140998,160787,2.81,6.89,6.99,2.33,6.23
Italy,Milan,Apartment,Middle,Declining,1.09,226600,339703,509259,9.98,4.63,4.39,2.12,5.71
South Korea,Incheon,Villa,Middle,Booming,0.97,276224,325314,383128,3.55,7.4,4.46,2.4,11.16
USA,Saint Petersburg,Apartment,High,Booming,0.86,102604,160771,251914,11.34,5.77,4.01,0.99,10.15
Japan,Yokohama,Villa,Low,Booming,0.86,290057,447164,689367,10.83,6.73,2.37,1.59,5.24
South Korea,Busan,Villa,Low,Booming,0.97,65090,88746,120999,7.27,6.57,8.89,1.7,10.39
Spain,Madrid,Villa,Low,Declining,0.4,430904,482663,540640,2.4,4.38,8.18,1.02,5.06
Spain,Barcelona,Villa,Low,Booming,0.95,374016,524607,735830,8.05,6.16,5.88,1.38,6.11
Italy,Rome,Condo,High,Booming,0.46,458803,628957,862215,7.42,4.41,5.16,3.82,4.38
Germany,Berlin,Apartment,Middle,Booming,0.83,277650,384906,533595,7.73,2.11,8.85,3.76,8.09
Indonesia,Surabaya,Villa,Middle,Stable,0.93,465125,669306,963118,8.78,2.92,6.19,2.62,6.82
China,Shanghai,Villa,Middle,Stable,0.96,470465,733485,1143549,11.18,4.71,2.02,3.95,10.55
Indonesia,Bandung,Apartment,Middle,Booming,0.41,464379,709777,1084853,10.57,5.11,6.32,1.9,3.49
UAE,Abu Dhabi,Apartment,Low,Stable,0.6,411284,432896,455644,1.05,4,4.58,2.38,11.28
UAE,Sharjah,Townhouse,Middle,Booming,0.61,206129,300047,436756,9.11,4.71,3.02,2.08,4.27
UK,Birmingham,Townhouse,High,Declining,0.46,274265,351172,449644,5.61,7.49,4.26,2.53,8.69
Brazil,Sao Paulo,Condo,Middle,Declining,0.31,348592,400155,459346,2.96,7.77,2.34,1.95,3.77
Italy,Rome,Condo,High,Booming,1.2,275988,380163,523659,7.55,2.4,7.75,1.23,11.08
South Africa,Cape Town,Villa,High,Booming,0.48,135809,145330,155518,1.4,4.83,6.08,0.73,9.98
Spain,Barcelona,Apartment,Middle,Stable,0.71,285976,369600,477679,5.85,4.4,6.04,1.04,4.64
Turkey,Ankara,Apartment,High,Declining,1.08,475752,597221,749704,5.11,3.62,6.8,1.93,3.23
Mexico,Monterrey,Apartment,Low,Booming,0.44,372188,525681,742476,8.25,2.16,3,1.31,9.05
Brazil,Rio de Janeiro,Apartment,Low,Declining,0.32,96849,144300,215001,9.8,3.07,6.87,1.33,3.89
UK,Birmingham,Condo,High,Booming,0.52,375020,570268,867168,10.41,6.98,4.57,2.84,4.84
Spain,Barcelona,Villa,High,Booming,0.56,453351,479261,506651,1.14,2.51,2.87,0.59,4.63
Italy,Naples,Townhouse,Middle,Declining,0.82,239641,369280,569048,10.82,6.9,4.08,1.41,6.42
Japan,Tokyo,Townhouse,Low,Stable,0.83,170629,237734,331230,7.87,4.46,5.97,2.03,5.65
Russia,New York,Condo,Low,Declining,1.15,393623,443637,500007,2.54,7.21,5.39,3.63,10.2
France,Marseille,Villa,High,Declining,0.68,60111,72000,86239,3.96,5.25,6.7,1.4,4.25
China,Beijing,Apartment,Middle,Booming,1.05,492981,660165,884047,6.78,3.03,3.45,0.56,11.23
Turkey,Ankara,Apartment,High,Stable,0.41,309432,371545,446125,4.01,5.33,6.86,3.4,4.86
USA,Saint Petersburg,Condo,Middle,Declining,0.31,111599,172421,266392,10.9,7.24,6.38,2.6,8.99
UAE,Sharjah,Townhouse,High,Stable,0.46,461485,590851,756480,5.61,4.3,5.67,0.66,4.5
France,Paris,Apartment,Middle,Booming,0.96,87259,120569,166595,7.63,3.47,4.5,1.51,6.2
Japan,Tokyo,Townhouse,Middle,Booming,0.95,183705,250118,340542,7.23,4.86,6.97,3.78,9.59
Italy,Rome,Villa,Low,Stable,0.49,64032,76470,91324,3.88,5.57,1.46,2.24,8.37
South Africa,Cape Town,Townhouse,Middle,Declining,0.6,396910,440026,487826,2.17,2.45,7.55,2.23,9.2
USA,Moscow,Townhouse,Low,Stable,0.69,160881,241403,362226,10.01,6.8,7.25,1.45,8.31
Brazil,Brasilia,Apartment,Middle,Stable,0.62,91212,141791,220417,11.09,2.82,9.55,2.06,4.67
Mexico,Mexico City,Apartment,High,Stable,0.79,442826,643303,934542,9.05,6.84,6.93,2.92,10.64
Australia,Brisbane,Villa,High,Stable,0.52,270241,316632,370987,3.43,7.93,9.5,0.64,9.35
Mexico,Monterrey,Townhouse,Middle,Declining,1.13,131259,178823,243623,7.25,7.49,1.31,2.94,5.68
UK,Manchester,Condo,Middle,Stable,1.13,486976,764234,1199349,11.39,4.85,8.76,3.46,5.87
Germany,Munich,Condo,Middle,Stable,1.05,66653,91845,126558,7.56,3.38,2.09,0.77,9.27
UK,Manchester,Apartment,Middle,Declining,0.61,376145,408473,443580,1.72,3.89,5.86,3.27,5.87
Turkey,Ankara,Condo,Low,Booming,0.86,448690,623107,865324,7.77,3.4,1.22,3.55,3.19
UAE,Abu Dhabi,Apartment,Low,Booming,1.09,288022,451182,706771,11.33,6.79,9.98,1.73,9.9
Turkey,Istanbul,Townhouse,Low,Declining,0.66,265944,371026,517629,7.9,7.24,9.86,3.19,6.76
Australia,Melbourne,Townhouse,Middle,Stable,0.68,381912,451163,532971,3.63,2.66,4.19,1.51,5.67
Mexico,Mexico City,Condo,High,Stable,0.51,68942,73067,77438,1.2,7.93,4.85,1.85,9.12
Japan,Osaka,Townhouse,High,Declining,0.5,477483,707863,1049400,9.65,2.54,4.76,3.58,11.5
China,Shenzhen,Condo,High,Declining,0.72,326035,372289,425105,2.84,7.95,3.09,3.8,8.85
China,Shanghai,Apartment,High,Booming,0.85,280710,330359,388789,3.54,3.06,2.98,1.15,10.02
UAE,Sharjah,Villa,High,Booming,0.62,76029,120355,190522,11.66,7.3,9.35,3.98,4.57
Italy,Naples,Condo,Low,Stable,0.66,391207,560526,803128,8.66,2.92,8.34,1.29,5.01
Brazil,Rio de Janeiro,Apartment,High,Declining,0.78,316823,433746,593818,7.38,2.55,8.9,1.43,4.17
Mexico,Guadalajara,Apartment,High,Stable,1.1,480043,731667,1115186,10.48,6.86,6.9,2.43,3.78
Australia,Melbourne,Townhouse,Low,Booming,0.67,217710,259698,309785,3.86,6.34,5.46,0.78,4.98
Turkey,Izmir,Condo,High,Stable,0.91,84259,127919,194202,10.36,4.97,5.33,2.57,10.42
Indonesia,Surabaya,Condo,High,Booming,0.61,355107,483355,657920,7.22,3.6,8.91,3.29,8.93
Australia,Melbourne,Condo,Low,Stable,1.07,440282,633830,912462,8.79,7.02,7.28,2.88,8.57
USA,Saint Petersburg,Condo,Middle,Booming,0.98,121372,186243,285786,10.69,7.23,1.26,3.39,4.16
Russia,New York,Townhouse,High,Booming,0.6,384579,437811,498412,2.77,6.91,8.49,2.28,3.06
Brazil,Brasilia,Townhouse,Low,Stable,0.56,327617,520797,827887,11.79,5.79,3.34,2.72,7.86
Brazil,Rio de Janeiro,Villa,Middle,Booming,1,98141,144127,211660,9.37,5.25,9.67,1.7,8.69
UK,Manchester,Condo,High,Declining,1.14,96129,150488,235586,11.31,6.13,1.61,1.55,9.37
Turkey,Izmir,Villa,High,Declining,0.36,311977,386925,479878,4.8,5.73,1.41,3.55,11.76
Russia,New York,Villa,Low,Declining,1.17,387343,434424,487227,2.43,6.55,1.22,0.58,5.91
China,Beijing,Apartment,Middle,Booming,0.74,396683,565596,806434,8.52,4.68,3.46,3.99,6.84
Italy,Milan,Villa,Middle,Declining,0.71,123631,183857,273422,9.74,6.16,2.99,0.79,9.12
UAE,Sharjah,Villa,High,Stable,0.89,172967,272072,427963,11.46,2.91,4.89,3.8,6.78
Russia,New York,Condo,Low,Declining,0.87,228917,274888,330091,4.02,7.9,4.68,3.63,5.07
Canada,Toronto,Townhouse,High,Booming,0.49,64010,90153,126973,8.17,4.21,8.78,2.16,11.71
South Africa,Johannesburg,Condo,High,Stable,0.47,440880,651237,961960,9.54,6.63,8.6,3.16,8.64
Canada,Vancouver,Condo,High,Stable,0.42,64637,100605,156588,11.13,5.7,8.17,2.19,4.06
Saudi Arabia,Jeddah,Townhouse,Low,Stable,0.41,358504,461276,593509,5.73,3.2,5.42,0.72,8.24
Japan,Osaka,Apartment,High,Stable,0.54,408902,499146,609307,4.41,4.73,1.1,0.75,6.53
Turkey,Istanbul,Villa,High,Stable,0.73,320009,387344,468847,4.21,6.17,8.74,3.23,3.36
France,Lyon,Apartment,Middle,Booming,0.73,97219,115022,136085,3.66,7.92,2.28,2.25,8.56
India,Mumbai,Villa,High,Booming,0.93,301842,318556,336196,1.11,3.96,5.66,0.81,6.16
Italy,Milan,Condo,Low,Stable,0.33,85360,108263,137311,5.37,2.8,6.11,2.91,10.21
Germany,Frankfurt,Apartment,High,Booming,0.48,125367,138846,153773,2.15,5.82,7.36,0.61,11.43
UAE,Abu Dhabi,Townhouse,High,Stable,0.35,293583,422755,608760,8.8,7.23,7.43,3.31,6.06
Turkey,Ankara,Apartment,Middle,Booming,1.03,86052,132705,204650,10.84,5.29,8.36,2.08,8.79
Japan,Yokohama,Villa,Middle,Declining,0.77,379215,415201,454603,1.9,2.36,3.22,1.06,10.85
Russia,Los Angeles,Condo,High,Stable,0.5,489139,604230,746401,4.71,3.09,8.11,2.81,7.48
Japan,Tokyo,Apartment,Low,Declining,0.8,373641,439271,516429,3.51,7.98,9.77,2.78,4.8
USA,Saint Petersburg,Villa,High,Declining,0.91,82489,88004,93888,1.34,3.55,5.16,3.54,9.54
Indonesia,Bandung,Apartment,Low,Declining,0.97,241472,299489,371446,4.81,4.23,9.89,0.64,10.8
Japan,Tokyo,Villa,High,Booming,0.82,247377,358422,519315,8.98,4.92,8.86,3.65,6.8
Spain,Valencia,Townhouse,Middle,Declining,0.55,316558,491234,762297,11.04,3.26,6.61,2.71,9.6
Italy,Rome,Condo,High,Stable,0.42,372121,576776,893984,11,3.08,3.14,3.9,4.63
Indonesia,Bandung,Townhouse,Middle,Declining,1.07,271525,322022,381911,3.72,7.22,5.01,2.3,6.23
Brazil,Sao Paulo,Townhouse,High,Declining,0.83,123586,156348,197795,5.3,7.82,3.32,2.8,5.93
China,Shenzhen,Condo,Middle,Declining,1,108893,172422,273013,11.67,4.72,3.12,0.76,4.53
Spain,Madrid,Villa,Middle,Declining,0.77,201651,303664,457283,10.12,4.59,3.24,2.66,9.36
Indonesia,Bandung,Villa,Low,Booming,0.45,125429,134230,143649,1.4,6.42,6.97,2.16,10.6
South Korea,Incheon,Condo,Low,Booming,1.03,313409,478748,731312,10.55,3.24,2.01,1.44,3.51
Turkey,Izmir,Condo,Low,Booming,0.78,471473,505248,541444,1.43,2.73,5.07,3.77,5.85
China,Beijing,Townhouse,Low,Stable,0.76,68708,77749,87980,2.63,7.92,9.69,0.52,11.57
Canada,Toronto,Townhouse,Low,Stable,0.88,440563,572779,744674,6,5.09,5.4,2.83,4.26
France,Lyon,Condo,Middle,Stable,0.33,188568,271081,389699,8.75,3.21,7.06,3.89,3.85
UAE,Abu Dhabi,Apartment,Low,Stable,0.91,249688,381392,582569,10.55,3.06,7.23,3.43,11.5
UK,Manchester,Apartment,Middle,Stable,0.91,273729,380432,528731,7.8,7.21,6.14,0.61,11.38
France,Lyon,Apartment,High,Declining,0.92,354431,414196,484038,3.37,5.95,4.54,2.78,3.96
Brazil,Rio de Janeiro,Condo,Low,Declining,0.89,499736,537974,579138,1.53,7.86,4.66,3.55,10.04
Germany,Frankfurt,Townhouse,High,Declining,0.81,382302,586139,898659,10.66,4.42,3.94,2.84,10.27
Italy,Naples,Condo,Middle,Declining,0.99,409016,527455,680191,5.79,6.91,2.08,2.41,3.05
South Africa,Cape Town,Villa,High,Booming,0.59,214908,272480,345477,5.36,6.17,4.5,2.07,5.14
Saudi Arabia,Jeddah,Villa,Middle,Declining,0.64,152271,166015,180999,1.81,5.62,7.01,2.67,7.17
Turkey,Ankara,Condo,Middle,Booming,0.64,438500,585615,782086,6.71,4.88,1.23,1.69,6.42
Russia,Los Angeles,Condo,Low,Stable,0.66,311078,417927,561477,6.87,5.65,7.88,3.35,9.46
Spain,Madrid,Apartment,Middle,Declining,1.16,58205,67382,78007,3.15,2.05,6.83,3.64,5.19
UAE,Dubai,Villa,Low,Booming,1.13,77120,120612,188629,11.28,4.11,1.91,2.2,5.31
China,Beijing,Townhouse,High,Booming,0.56,188280,280851,418936,9.83,5.23,3.8,2.64,9.45
Turkey,Istanbul,Apartment,Low,Booming,0.55,236097,263729,294595,2.34,3.09,7.13,1.14,7.73
South Africa,Johannesburg,Condo,Middle,Stable,0.94,98095,133607,181976,7.24,3.54,9.67,2.19,10.25
Mexico,Mexico City,Villa,Middle,Booming,0.8,69536,97227,135946,7.96,7.71,6.41,3.37,10.96
Spain,Barcelona,Villa,High,Booming,0.51,145420,201558,279368,7.72,4.47,8.56,3.65,6.18
Australia,Sydney,Townhouse,Low,Booming,0.51,401236,481943,578882,4.02,6.94,4.81,2.84,3.86
USA,Moscow,Condo,Low,Declining,0.86,253295,347682,477241,7.45,3.01,7.63,3.52,4.95
Italy,Naples,Villa,High,Stable,0.39,60637,85079,119373,8.06,5.64,5.92,1.31,6.52
Mexico,Mexico City,Townhouse,Low,Declining,0.84,273545,435834,694407,11.87,2.82,7.26,1.92,6.85
Brazil,Brasilia,Townhouse,High,Stable,0.95,361596,576815,920130,11.9,2.77,1.94,3.04,8.21
Canada,Montreal,Apartment,High,Stable,0.55,85739,94065,103200,1.94,7.37,2.73,1.63,5.04
Mexico,Mexico City,Apartment,Low,Declining,0.62,81241,108496,144894,6.71,2.41,8.2,1.32,7.86
Japan,Yokohama,Apartment,Middle,Stable,1.09,342895,460551,618579,6.86,3.95,4,2.84,11.95
France,Marseille,Apartment,High,Declining,0.9,301003,437013,634481,9.04,4.79,1.54,2.47,11.62
Indonesia,Surabaya,Apartment,Low,Declining,0.46,360502,418368,485521,3.21,5.21,1.87,2.08,9.81
Spain,Valencia,Apartment,Middle,Declining,0.61,349210,519449,772680,9.75,7.56,3.11,1.9,4.37
Turkey,Istanbul,Townhouse,High,Stable,1.19,467150,629241,847572,6.94,7.05,5.69,2.68,3.8
Russia,New York,Apartment,Low,Declining,0.98,107471,161673,243210,10.09,6.69,7.38,0.63,5.73
Australia,Sydney,Villa,Middle,Booming,0.54,212061,232887,255757,1.96,7.62,5.98,1.57,6.57
China,Beijing,Apartment,Low,Booming,0.7,320267,427116,569612,6.67,7.52,5.47,3.97,10.66
Indonesia,Bandung,Townhouse,High,Booming,0.49,468768,522208,581741,2.28,6.9,4.43,3.57,10.81
South Korea,Incheon,Apartment,Low,Declining,1.03,405514,493743,601168,4.35,2.49,4.63,1.11,9.25
Italy,Milan,Apartment,Low,Declining,0.61,489025,685874,961962,8.05,6.93,2.19,3.52,11.3
Brazil,Sao Paulo,Villa,Low,Booming,0.74,322814,474745,698181,9.41,3.05,5.52,1.9,4.32
USA,Saint Petersburg,Condo,Low,Stable,0.63,80678,85857,91368,1.28,2.81,9.67,2.42,11.69
Indonesia,Bandung,Condo,Low,Declining,0.69,190317,252813,335832,6.57,4.64,1.95,2.74,4.94
Canada,Montreal,Townhouse,Low,Booming,0.86,342590,388365,440256,2.67,2.37,8.03,2.11,3.52
China,Shenzhen,Condo,Low,Declining,1.2,76001,108854,155909,8.65,7.9,3.15,1,4.09
UK,Birmingham,Townhouse,Middle,Declining,0.57,95471,136589,195416,8.61,2.37,5.58,3.99,10.33
Canada,Montreal,Apartment,High,Stable,0.85,187814,261652,364518,7.86,5.16,4.83,0.96,10.98
France,Paris,Condo,Middle,Booming,0.7,137580,172287,215750,5.05,4.48,8.45,3.07,9.92
Italy,Rome,Townhouse,High,Stable,0.31,237269,311947,410129,6.29,2.12,3.34,3.16,4.23
Turkey,Ankara,Townhouse,High,Declining,0.78,146841,155162,163954,1.13,3.45,9.78,3.31,11.64
Russia,Los Angeles,Condo,Low,Booming,0.74,99381,134302,181492,7.03,4.73,8.6,0.84,7.39
Australia,Brisbane,Apartment,Middle,Booming,0.44,196104,285439,415469,9.11,4.86,4.38,1.88,7.14
